M1,M2,M3,Support,Temperature,Pch4,Po2,Par,C2y,Type
Na,Mn,Si,Mg,850,0.68,0.33,0,13.4,Literature
Li,Al,none,Ca,643,0.91,0.09,0,4.8,Literature
Li,Mg,none,Al,796,0.95,0.05,0,6.9,Literature
K,B,none,Al,791,0.91,0.09,0,6.7,Literature
Li,Mg,none,Si,824,0.91,0.09,0,10.8,Literature
Y,Ba,none,Al,850,0.3,0.06,0.6,13.7,Literature
Li,Mg,none,Al,671,0.6,0.4,0,11.5,Literature
Na,Pb,none,Si,840,0.87,0.03,0.1,4.8,Literature
Li,Ni,none,Ti,800,0.27,0.13,0.6,9.9,Literature
Li,Ni,none,Ti,850,0.27,0.13,0.6,16.7,Literature
Yb,Ce,none,Sr,750,0.13,0.07,0.8,33.6,Literature
Na,La,none,Mn,820,0.51,0.1,0.4,13.3,Literature
Na,La,none,Mn,820,0.83,0.17,0,13.4,Literature
Na,Gd,none,Mn,820,0.83,0.17,0,14.2,Literature
Na,Sm,none,Mn,820,0.83,0.17,0,13.1,Literature
Na,La,none,Mn,845,0.41,0.2,0.4,9.4,Literature
Yb,Ce,none,Sr,750,0.14,0.07,0.8,31.6,Literature
Na,La,none,Al,740,0.33,0.07,0.6,0.6,Literature
K,La,none,Al,740,0.33,0.07,0.6,0.9,Literature
Ca,La,none,Al,740,0.33,0.07,0.6,0.5,Literature
Ba,La,none,Al,740,0.33,0.07,0.6,0.5,Literature
Li,Ti,none,Sr,850,0.5,0.38,0.1,11.1,Literature
Li,Ti,none,Sr,850,0.5,0.38,0.1,1.2,Literature
Li,Ni,none,Ti,750,0.32,0.08,0.6,13.2,Literature
Li,Ni,none,Ti,800,0.27,0.13,0.6,17.8,Literature
Sb,Bi,none,Ba,750,0.67,0.33,0,9.1,Literature
Ru,Bi,none,Ba,750,0.67,0.33,0,7.8,Literature
Y,Ba,none,Sn,750,0.15,0.08,0.8,5.8,Literature
K,Ca,none,Nb,800,0.4,0.08,0.5,8.7,Literature
K,Sr,none,Nb,750,0.4,0.08,0.5,4.6,Literature
Cs,Ca,none,Nb,750,0.4,0.08,0.5,4.6,Literature
K,Ca,none,Ta,750,0.4,0.08,0.5,5.6,Literature
Sr,La,none,Ca,800,0.9,0.1,0,14.5,Literature
Y,Ba,none,Cu,750,0.18,0.09,0.7,3.9,Literature
Bi,Pb,none,Ba,775,0.3,0.04,0.7,0.8,Literature
Li,Ti,none,Ca,707,0.5,0.1,0.4,11.9,Literature
Na,La,none,Zr,720,0.4,0.1,0.5,12.8,Literature
K,La,none,Zr,680,0.4,0.1,0.5,13.4,Literature
Rb,La,none,Zr,680,0.4,0.1,0.5,13.3,Literature
Li,Ti,none,Ca,707,0.48,0.11,0.4,12.1,Literature
Li,Ti,none,Sr,710,0.48,0.11,0.4,9.9,Literature
Li,Sb,none,Te,700,0.17,0.03,0.8,11.2,Literature
Ti,Mg,none,Ba,868,0.17,0.03,0.8,12.2,Literature
La,Sr,none,Mn,795,0.3,0.05,0.6,2.2,Literature
La,Fe,none,Nb,795,0.3,0.05,0.6,2.2,Literature
La,Sr,none,Y,795,0.3,0.05,0.6,6.7,Literature
Zr,Mg,none,Ca,620,0.4,0.1,0.5,11.8,Literature
Zr,Mg,none,Sr,700,0.4,0.1,0.5,15.6,Literature
Zr,Mg,none,Ba,800,0.4,0.1,0.5,14.3,Literature
Fe,Cr,none,Al,800,0.5,0.1,0.4,0.8,Literature
Pb,none,none,Al,750,0.51,0.05,0.4,3.7,Literature
Pb,none,none,Si,831,0.83,0.04,0.1,6.8,Literature
Na,Al,none,Li,850,0.18,0.06,0.8,11.1,Literature
W,none,none,Mg,800,0.1,0.03,0.9,0,Literature
Zn,none,none,Al,750,0.08,0.04,0.9,5.6,Literature
Zn,none,none,Al,750,0.08,0.04,0.9,5.4,Literature
Li,none,none,Zn,700,0.44,0.11,0.5,2.1,Literature
Mg,none,none,Li,750,0.52,0.12,0.4,7.1,Literature
Li,Zr,none,Zn,800,0.27,0.06,0.7,4.8,Literature
Li,none,none,Zr,750,0.88,0.13,0,4.2,Literature
Li,Ti,none,Mg,751,0.5,0.1,0.4,5.8,Literature
La,none,none,Zn,800,0.5,0.1,0.4,13.2,Literature
P,none,none,Fe,800,0.1,0.03,0.9,0.4,Literature
Ni,Sb,none,Te,650,0.25,0.05,0.7,11,Literature
Li,none,none,La,704,0.47,0.11,0.4,29.2,Literature
Li,none,none,La,710,0.48,0.11,0.4,12.8,Literature
Li,Si,none,Mg,850,0.19,0.09,0.7,17.1,Literature
K,Pb,none,Al,750,0.7,0.07,0.2,5.7,Literature
Y,Ba,none,Sn,800,0.83,0.17,0,8.7,Literature
Cs,Ba,none,La,750,0.38,0.13,0.5,14.2,Literature
Sm,none,none,Na,780,0.68,0.07,0.3,6.4,Literature
Li,none,none,Al,800,0.4,0.08,0.5,0.2,Literature
Al,none,none,Ba,850,0.95,0.05,0,8.8,Literature
