Z,Name,Amount,Family,Period,Electronegativity
1,H,1.007947,1,1,2.1
2,He,4.0026022,18,1,nan
3,Li,6.9412,1,2,1
4,Be,9.0121823,2,2,1.5
5,B,10.8115,13,2,2
6,C,12.0111,14,2,2.5
7,N,14.006747,15,2,3.1
8,O,15.99943,16,2,3.5
9,F,18.99840329,17,2,4.1
10,Ne,20.17976,18,2,nan
11,Na,22.9897686,1,3,1
12,Mg,24.30506,2,3,1.3
13,Al,26.9815395,13,3,1.5
14,Si,28.08553,14,3,1.8
15,P,30.9737624,15,3,2.1
16,S,32.0666,16,3,2.4
17,Cl,35.45279,17,3,2.9
18,Ar,39.9481,18,3,nan
19,K,39.09831,1,4,0.9
20,Ca,40.0784,2,4,1.1
21,Sc,44.9559109,3,4,1.2
22,Ti,47.883,4,4,1.3
23,V,50.94151,5,4,1.5
24,Cr,51.99616,6,4,1.6
25,Mn,54.938051,7,4,1.6
26,Fe,55.8473,8,4,1.7
27,Co,58.933201,9,4,1.7
28,Ni,58.69342,10,4,1.8
29,Cu,63.5463,11,4,1.8
30,Zn,65.392,12,4,1.7
31,Ga,69.7231,13,4,1.8
32,Ge,72.612,14,4,2
33,As,74.921592,15,4,2.2
34,Se,78.963,16,4,2.5
35,Br,79.9041,17,4,2.8
36,Kr,83.801,18,4,nan
37,Rb,85.46783,1,5,0.9
38,Sr,87.621,2,5,1
39,Y,88.905852,3,5,1.1
40,Zr,91.2242,4,5,1.2
41,Nb,92.906382,5,5,1.3
42,Mo,95.941,6,5,1.3
43,Tc,99,7,5,1.4
44,Ru,101.072,8,5,1.4
45,Rh,102.905503,9,5,1.5
46,Pd,106.421,10,5,1.4
47,Ag,107.86822,11,5,1.4
48,Cd,112.4118,12,5,1.5
49,In,114.8183,13,5,1.5
50,Sn,118.7107,14,5,1.7
51,Sb,121.7573,15,5,1.8
52,Te,127.603,16,5,2
53,I,126.904473,17,5,2.2
54,Xe,131.292,18,5,nan
55,Cs,132.905435,1,6,0.9
56,Ba,137.3277,2,6,0.9
57,La,138.90552,3,6,1.1
58,Ce,140.1154,3,6,1.1
59,Pr,140.907653,3,6,1.1
60,Nd,144.243,3,6,1.1
61,Pm,145,3,6,1.1
62,Sm,150.363,3,6,1.1
63,Eu,151.9659,3,6,1.1
64,Gd,157.253,3,6,1.1
65,Tb,158.925343,3,6,1.1
66,Dy,162.503,3,6,1.1
67,Ho,164.930323,3,6,1.1
68,Er,167.263,3,6,1.1
69,Tm,168.934213,3,6,1.1
70,Yb,173.043,3,6,1.1
71,Lu,174.9671,3,6,1.1
72,Hf,178.492,4,6,1.2
73,Ta,180.94791,5,6,1.4
74,W,183.841,6,6,1.4
75,Re,186.2071,7,6,1.5
76,Os,190.233,8,6,1.5
77,Ir,192.223,9,6,1.6
78,Pt,195.083,10,6,1.5
79,Au,196.966543,11,6,1.4
80,Hg,200.592,12,6,1.5
81,Tl,204.38332,13,6,1.5
82,Pb,207.21,14,6,1.6
83,Bi,208.980373,15,6,1.7
84,Po,210,16,6,1.8
85,At,210,17,6,2
86,Rn,222,18,6,nan
87,Fr,223,1,7,0.9
88,Ra,226,2,7,0.9
89,Ac,227,3,7,1
90,Th,232.03811,3,7,1.1
91,Pa,231.035882,3,7,1.1
92,U,238.02891,3,7,1.1
93,Np,237,3,7,1.1
94,Pu,239,3,7,1.1
95,Am,243,3,7,1.1
96,Cm,247,3,7,1.1
97,Bk,247,3,7,1.1
98,Cf,252,3,7,1.1
99,Es,252,3,7,1.1
100,Fm,257,3,7,1.1
101,Md,256,3,7,1.1
102,No,259,3,7,1.1
103,Lr,260,3,7,1.1
